Name,Observed Wavelength of H-alpha,RA J2000.0,Dec J2000.0
PGC1664006,6604.017910967988,11 32 06.6,+22 07 31
PGC1620526,6607.795716034859,11 35 54.4,+20 13 20
PGC1597887,6577.4329345913575,11 39 08.9,+19 35 00
UGC06670,6590.6651151367605,11 42 29.4,+18 19 59
PGC1519757,6585.57140471234,11 44 40.7,+16 53 59
UGC06747,6602.719172446638,11 46 24.0,+13 49 38
EVCC2007,6606.973662296511,11 46 26.5,+19 30 12
AGC219628,6579.407000890642,11 47 14.0,+18 40 28
SDSSJ114717.56+162004.5,6608.72329298585,11 47 17.5,+16 20 05
PGC2806928,6577.003757214561,11 48 16.4,+18 38 33
SDSSJ114843.14+171053.1,6604.137097955456,11 48 43.1,+17 10 53
AGC219539,6599.810643023727,11 48 45.0,+16 44 23
DDO097,6575.454610058921,11 48 57.4,+23 50 16
PGC1528400,6603.609169795119,11 49 05.6,+17 15 20
AGC219541,6575.28451796543,11 49 21.7,+17 17 24
SDSSJ114931.03+151539.7,6589.429793825996,11 49 31.0,+15 15 40
SDSSJ114957.11+161743.6,6610.453960905033,11 49 57.1,+16 17 44
PGC036976,6595.35726035193,11 50 02.7,+15 01 24
PGC037048,6592.3810751199435,11 50 55.9,+14 35 42
KIG0506,6600.133719193106,11 52 01.9,+13 52 44
SDSSJ115220.20+152736.2,6573.089759585851,11 52 20.2,+15 27 36
SDSSJ115300.30+160229.4,6603.822329720251,11 53 00.3,+16 02 30
KK111,6582.29873069848,11 54 01.6,+16 43 23
AGC215145,6585.843528551838,11 54 12.5,+12 26 06
UGC06881,6586.742699854197,11 54 44.9,+20 03 23
NGC3976,6586.560520423925,11 55 57.4,+06 44 59
PGC037490,6580.73501498672,11 56 02.5,+06 40 41
AGC215716,6569.394895996088,11 57 07.2,+06 40 32
PGC1488625,6582.750222529032,11 58 40.4,+15 35 34
AGC213178,6569.031235700384,11 59 00.7,+04 40 11
PGC037779,6567.5944998310815,11 59 33.8,+13 53 15
PGC037802,6616.279757279224,11 59 49.4,+21 26 56
NGC4032,6586.520095551042,12 00 32.9,+20 04 26
PGC1380373,6592.588132737969,12 00 56.1,+10 29 56
IC0755,6595.790854287953,12 01 10.5,+14 06 15
UGC07003,6577.949363709319,12 01 21.5,+14 27 00
PGC3120683,6600.819284132625,12 01 22.3,+02 11 09
NGC4037,6584.465700763691,12 01 23.7,+13 24 04
PGC037931,6582.485538289691,12 01 27.5,+14 02 04
PGC037954,6559.657601290797,12 01 44.3,+05 49 17
PGC1351666,6570.94581320172,12 01 45.1,+08 40 59
NGC4045,6582.440241269227,12 02 42.3,+01 58 37
NGC4049,6584.830510723392,12 02 54.5,+18 45 08
PGC3091844,6561.678451784121,12 03 02.8,+06 30 05
PGC1374673,6585.669907308173,12 03 15.1,+10 06 28
AGC225882,6579.567193385055,12 03 26.3,+13 27 34
PGC038113,6597.112057457414,12 03 36.0,+16 03 20
UGC07035,6578.58998597047,12 03 40.1,+02 38 29
UGC07039,6572.544109895432,12 03 50.5,+16 33 16
UGC07038,6595.096959955621,12 03 50.5,+14 33 01
SDSSJ120404.33+044847.2,6600.098376765196,12 04 04.4,+04 48 46
NGC4064,6581.049746116969,12 04 11.2,+18 26 37
NGC4067,6579.013817695601,12 04 11.5,+10 51 16
PGC1382204,6592.20477801268,12 04 47.1,+10 37 36
NGC4078,6573.360731081511,12 04 47.6,+10 35 44
SDSSJ120459.57+142420.4,6605.136160962678,12 04 59.6,+14 24 21
PGC1137065,6561.185564996511,12 05 02.2,-00 41 32
PGC3292163,6592.633914303313,12 05 07.1,-00 06 38
PGC1142295,6586.814723558338,12 05 19.9,-00 28 49
PGC3111475,6536.045468028958,12 05 26.7,-00 16 56
SDSSJ120527.06+123243.2,6601.422610362556,12 05 27.1,+12 32 43
